Circuit,Solver,Wire_ID,Time_Sec,Status,Method
c2670.aag,glucose4,459,0.000001,SAT,SIMULATION
c2670.aag,glucose4,683,0.000001,SAT,SIMULATION
c2670.aag,glucose4,500,0.000001,SAT,SIMULATION
c2670.aag,glucose4,848,0.000001,SAT,SIMULATION
c2670.aag,glucose4,851,0.000001,SAT,SIMULATION
c2670.aag,glucose4,853,0.000001,SAT,SIMULATION
c2670.aag,glucose4,681,0.000001,SAT,SIMULATION
c2670.aag,glucose4,868,0.000001,SAT,SIMULATION
c2670.aag,glucose4,326,0.000001,SAT,SIMULATION
c2670.aag,glucose4,746,0.000001,SAT,SIMULATION
c2670.aag,glucose4,917,0.000001,SAT,SIMULATION
c2670.aag,glucose4,864,0.000001,SAT,SIMULATION
c2670.aag,glucose4,918,0.000001,SAT,SIMULATION
c2670.aag,glucose4,741,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1901,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1895,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1646,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1439,0.000001,SAT,SIMULATION
c7552.aag,glucose4,674,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1902,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1011,0.000001,SAT,SIMULATION
c7552.aag,glucose4,763,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1903,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1904,0.000001,SAT,SIMULATION
c7552.aag,glucose4,794,0.000001,SAT,SIMULATION
c7552.aag,glucose4,780,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1734,0.000001,SAT,SIMULATION
c7552.aag,glucose4,801,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1905,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1906,0.000001,SAT,SIMULATION
c7552.aag,glucose4,166,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1645,0.000001,SAT,SIMULATION
c7552.aag,glucose4,402,0.000001,SAT,SIMULATION
c7552.aag,glucose4,170,0.000001,SAT,SIMULATION
c7552.aag,glucose4,57,0.000001,SAT,SIMULATION
c7552.aag,glucose4,28,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1907,0.000001,SAT,SIMULATION
c7552.aag,glucose4,815,0.000001,SAT,SIMULATION
c7552.aag,glucose4,242,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1908,0.000001,SAT,SIMULATION
c7552.aag,glucose4,71,0.000001,SAT,SIMULATION
c7552.aag,glucose4,441,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1909,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1910,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1911,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1912,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1913,0.000001,SAT,SIMULATION
c7552.aag,glucose4,111,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1871,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1757,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1914,0.000001,SAT,SIMULATION
c7552.aag,glucose4,415,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1915,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1646,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1916,0.000001,SAT,SIMULATION
c7552.aag,glucose4,935,0.000001,SAT,SIMULATION
c7552.aag,glucose4,8,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1917,0.000001,SAT,SIMULATION
c7552.aag,glucose4,128,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1635,0.000001,SAT,SIMULATION
c7552.aag,glucose4,247,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1918,0.000001,SAT,SIMULATION
c7552.aag,glucose4,287,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1871,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1919,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1646,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1920,0.000001,SAT,SIMULATION
c7552.aag,glucose4,261,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1649,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1646,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1765,0.000001,SAT,SIMULATION
c7552.aag,glucose4,1637,0.000001,SAT,SIMULATION
